'Elapsed time','V1'
'0:01.203',-5.445
'0:01.206',-5.470
'0:01.208',-5.475
'0:01.211',-5.495
'0:01.214',-5.500
'0:01.217',-5.505
'0:01.219',-5.495
'0:01.222',-5.500
'0:01.225',-5.490
'0:01.228',-5.490
'0:01.231',-5.495
'0:01.233',-5.500
'0:01.236',-5.495
'0:01.239',-5.505
'0:01.242',-5.520
'0:01.244',-5.515
'0:01.247',-5.510
'0:01.250',-5.535
'0:01.253',-5.515
'0:01.256',-5.515
'0:01.258',-5.510
'0:01.261',-5.515
'0:01.264',-5.505
'0:01.267',-5.495
'0:01.269',-5.505
'0:01.272',-5.505
'0:01.275',-5.525
'0:01.278',-5.535
'0:01.281',-5.525
'0:01.283',-5.535
'0:01.286',-5.550
'0:01.289',-5.525
'0:01.292',-5.520
'0:01.294',-5.515
'0:01.297',-5.495
'0:01.300',-5.500
'0:01.303',-5.510
'0:01.306',-5.520
'0:01.308',-5.515
'0:01.311',-5.530
'0:01.314',-5.525
'0:01.317',-5.535
'0:01.319',-5.515
'0:01.322',-5.500
'0:01.325',-5.490
'0:01.328',-5.470
'0:01.331',-5.470
'0:01.333',-5.465
'0:01.336',-5.455
'0:01.339',-5.445
'0:01.342',-5.435
'0:01.344',-5.415
'0:01.347',-5.400
'0:01.350',-5.350
'0:01.353',-5.315
'0:01.356',-5.295
'0:01.358',-5.320
'0:01.361',-5.395
'0:01.364',-5.530
'0:01.367',-5.680
'0:01.369',-5.830
'0:01.372',-6.000
'0:01.375',-6.165
'0:01.378',-6.340
'0:01.381',-6.565
'0:01.383',-6.790
'0:01.386',-6.990
'0:01.389',-7.185
'0:01.392',-7.310
'0:01.394',-7.365
'0:01.397',-7.405
'0:01.400',-7.415
'0:01.403',-7.430
'0:01.406',-7.425
'0:01.408',-7.425
'0:01.411',-7.425
'0:01.414',-7.405
'0:01.417',-7.345
'0:01.419',-7.270
'0:01.422',-7.155
'0:01.425',-7.060
'0:01.428',-6.965
'0:01.431',-6.865
'0:01.433',-6.785
'0:01.436',-6.695
'0:01.439',-6.595
'0:01.442',-6.530
'0:01.444',-6.465
'0:01.447',-6.405
'0:01.450',-6.320
'0:01.453',-6.245
'0:01.456',-6.150
'0:01.458',-6.055
'0:01.461',-5.980
'0:01.464',-5.875
'0:01.467',-5.750
'0:01.469',-5.650
'0:01.472',-5.560
'0:01.475',-5.495
'0:01.478',-5.470
'0:01.481',-5.480
'0:01.483',-5.470
'0:01.486',-5.465
'0:01.489',-5.430
'0:01.492',-5.410
'0:01.494',-5.365
'0:01.497',-5.345
'0:01.500',-5.305
'0:01.503',-5.295
'0:01.506',-5.310
'0:01.508',-5.290
'0:01.511',-5.310
'0:01.514',-5.305
'0:01.517',-5.295
'0:01.519',-5.295
'0:01.522',-5.275
'0:01.525',-5.265
'0:01.528',-5.230
'0:01.531',-5.215
'0:01.533',-5.220
'0:01.536',-5.220
'0:01.539',-5.205
'0:01.542',-5.220
'0:01.544',-5.215
'0:01.547',-5.205
'0:01.550',-5.200
'0:01.553',-5.185
'0:01.556',-5.175
'0:01.558',-5.140
'0:01.561',-5.130
'0:01.564',-5.090
'0:01.567',-5.080
'0:01.569',-5.055
'0:01.572',-5.050
'0:01.575',-5.035
'0:01.578',-5.025
'0:01.581',-5.025
'0:01.583',-5.015
'0:01.586',-4.970
'0:01.589',-4.945
'0:01.592',-4.915
'0:01.594',-4.900
'0:01.597',-4.865
'0:01.600',-4.830
'0:01.603',-4.825
'0:01.606',-4.810
'0:01.608',-4.825
'0:01.611',-4.820
'0:01.614',-4.825
'0:01.617',-4.835
'0:01.619',-4.820
'0:01.622',-4.815
'0:01.625',-4.810
'0:01.628',-4.790
'0:01.631',-4.765
'0:01.633',-4.730
'0:01.636',-4.695
'0:01.639',-4.675
'0:01.642',-4.695
'0:01.644',-4.670
'0:01.647',-4.675
'0:01.650',-4.655
'0:01.653',-4.620
'0:01.656',-4.605
'0:01.658',-4.590
'0:01.661',-4.545
'0:01.664',-4.555
'0:01.667',-4.540
'0:01.669',-4.565
'0:01.672',-4.590
'0:01.675',-4.605
'0:01.678',-4.620
'0:01.681',-4.635
'0:01.683',-4.645
'0:01.686',-4.665
'0:01.689',-4.675
'0:01.692',-4.685
'0:01.694',-4.715
'0:01.697',-4.720
'0:01.700',-4.770
'0:01.703',-4.795
'0:01.706',-4.835
'0:01.708',-4.880
'0:01.711',-4.915
'0:01.714',-4.965
'0:01.717',-5.005
'0:01.719',-5.050
'0:01.722',-5.070
'0:01.725',-5.090
'0:01.728',-5.130
'0:01.731',-5.150
'0:01.733',-5.195
'0:01.736',-5.225
'0:01.739',-5.260
'0:01.742',-5.290
'0:01.744',-5.340
'0:01.747',-5.350
'0:01.750',-5.380
'0:01.753',-5.395
'0:01.756',-5.415
'0:01.758',-5.400
'0:01.761',-5.415
'0:01.764',-5.410
'0:01.767',-5.420
'0:01.769',-5.425
'0:01.772',-5.435
'0:01.775',-5.440
'0:01.778',-5.470
'0:01.781',-5.475
'0:01.783',-5.490
'0:01.786',-5.480
'0:01.789',-5.475
'0:01.792',-5.465
'0:01.794',-5.465
'0:01.797',-5.440
'0:01.800',-5.440
'0:01.803',-5.450
'0:01.806',-5.435
'0:01.808',-5.455
'0:01.811',-5.460
'0:01.814',-5.465
'0:01.817',-5.465
'0:01.819',-5.475
'0:01.822',-5.460
'0:01.825',-5.460
'0:01.828',-5.445
'0:01.831',-5.435
'0:01.833',-5.430
'0:01.836',-5.435
'0:01.839',-5.440
'0:01.842',-5.445
'0:01.844',-5.450
'0:01.847',-5.475
'0:01.850',-5.480
'0:01.853',-5.475
'0:01.856',-5.465
'0:01.858',-5.455
'0:01.861',-5.455
'0:01.864',-5.440
'0:01.867',-5.425
'0:01.869',-5.435
'0:01.872',-5.450
'0:01.875',-5.455
'0:01.878',-5.445
'0:01.881',-5.475
'0:01.883',-5.455
'0:01.886',-5.475
'0:01.889',-5.460
'0:01.892',-5.445
'0:01.894',-5.445
'0:01.897',-5.435
'0:01.900',-5.440
'0:01.903',-5.450
'0:01.906',-5.445
'0:01.908',-5.480
'0:01.911',-5.485
'0:01.914',-5.485
'0:01.917',-5.480
'0:01.919',-5.495
'0:01.922',-5.490
'0:01.925',-5.470
'0:01.928',-5.465
'0:01.931',-5.450
'0:01.933',-5.455
'0:01.936',-5.460
'0:01.939',-5.470
'0:01.942',-5.480
'0:01.944',-5.475
'0:01.947',-5.505
'0:01.950',-5.505
'0:01.953',-5.515
'0:01.956',-5.505
'0:01.958',-5.495
'0:01.961',-5.495
'0:01.964',-5.475
'0:01.967',-5.485
'0:01.969',-5.500
'0:01.972',-5.505
'0:01.975',-5.510
'0:01.978',-5.510
'0:01.981',-5.520
'0:01.983',-5.525
'0:01.986',-5.525
'0:01.989',-5.510
'0:01.992',-5.505
'0:01.994',-5.500
'0:01.997',-5.495
'0:02.000',-5.500
'0:02.003',-5.490
'0:02.006',-5.500
'0:02.008',-5.515
'0:02.011',-5.515
'0:02.014',-5.540
'0:02.017',-5.525
'0:02.019',-5.535
'0:02.022',-5.530
'0:02.025',-5.520
'0:02.028',-5.520
'0:02.031',-5.510
'0:02.033',-5.510
'0:02.036',-5.540
'0:02.039',-5.520
'0:02.042',-5.535
'0:02.044',-5.555
'0:02.047',-5.545
'0:02.050',-5.545
'0:02.053',-5.545
'0:02.056',-5.520
'0:02.058',-5.525
'0:02.061',-5.520
'0:02.064',-5.520
'0:02.067',-5.510
'0:02.069',-5.510
'0:02.072',-5.535
'0:02.075',-5.540
'0:02.078',-5.525
'0:02.081',-5.545
'0:02.083',-5.550
'0:02.086',-5.555
'0:02.089',-5.545
'0:02.092',-5.545
'0:02.094',-5.530
'0:02.097',-5.525
'0:02.100',-5.535
'0:02.103',-5.525
'0:02.106',-5.535
'0:02.108',-5.540
'0:02.111',-5.540
'0:02.114',-5.550
'0:02.117',-5.550
'0:02.119',-5.550
'0:02.122',-5.550
'0:02.125',-5.530
'0:02.128',-5.520
'0:02.131',-5.510
'0:02.133',-5.510
'0:02.136',-5.520
'0:02.139',-5.520
'0:02.142',-5.535
'0:02.144',-5.540
'0:02.147',-5.555
'0:02.150',-5.560
'0:02.153',-5.570
'0:02.156',-5.555
'0:02.158',-5.560
'0:02.161',-5.540
'0:02.164',-5.530
'0:02.167',-5.550
'0:02.169',-5.530
'0:02.172',-5.530
'0:02.175',-5.545
'0:02.178',-5.550
'0:02.181',-5.545
'0:02.183',-5.570
'0:02.186',-5.550
'0:02.189',-5.565
'0:02.192',-5.540
'0:02.194',-5.540
'0:02.197',-5.530
'0:02.200',-5.540
'0:02.203',-5.540
'0:02.206',-5.550
'0:02.208',-5.565
'0:02.211',-5.570
'0:02.214',-5.595
'0:02.217',-5.580
'0:02.219',-5.585
'0:02.222',-5.590
'0:02.225',-5.585
'0:02.228',-5.550
'0:02.231',-5.545
'0:02.233',-5.545
'0:02.236',-5.540
'0:02.239',-5.550
'0:02.242',-5.545
'0:02.244',-5.575
'0:02.247',-5.590
'0:02.250',-5.595
'0:02.253',-5.590
'0:02.256',-5.585
'0:02.258',-5.575
'0:02.261',-5.570
'0:02.264',-5.580
'0:02.267',-5.555
'0:02.269',-5.560
'0:02.272',-5.560
'0:02.275',-5.580
'0:02.278',-5.580
'0:02.281',-5.605
'0:02.283',-5.615
'0:02.286',-5.610
'0:02.289',-5.585
'0:02.292',-5.570
'0:02.294',-5.550
'0:02.297',-5.545
'0:02.300',-5.535
'0:02.303',-5.550
'0:02.306',-5.530
'0:02.308',-5.560
'0:02.311',-5.575
'0:02.314',-5.590
'0:02.317',-5.585
'0:02.319',-5.575
'0:02.322',-5.565
'0:02.325',-5.570
'0:02.328',-5.555
'0:02.331',-5.540
'0:02.333',-5.550
'0:02.336',-5.570
'0:02.339',-5.550
'0:02.342',-5.570
'0:02.344',-5.570
'0:02.347',-5.595
'0:02.350',-5.590
'0:02.353',-5.585
'0:02.356',-5.555
'0:02.358',-5.565
'0:02.361',-5.555
'0:02.364',-5.525
'0:02.367',-5.535
'0:02.369',-5.540
'0:02.372',-5.540
'0:02.375',-5.565
'0:02.378',-5.565
'0:02.381',-5.575
'0:02.383',-5.570
'0:02.386',-5.590
'0:02.389',-5.570
'0:02.392',-5.575
'0:02.394',-5.565
'0:02.397',-5.545
'0:02.400',-5.545
'0:02.403',-5.560
'0:02.406',-5.555
'0:02.408',-5.565
'0:02.411',-5.570
'0:02.414',-5.575
'0:02.417',-5.590
'0:02.419',-5.585
'0:02.422',-5.570
'0:02.425',-5.560
'0:02.428',-5.550
'0:02.431',-5.550
'0:02.433',-5.530
'0:02.436',-5.535
'0:02.439',-5.545
'0:02.442',-5.560
'0:02.444',-5.575
'0:02.447',-5.580
'0:02.450',-5.590
'0:02.453',-5.580
'0:02.456',-5.580
'0:02.458',-5.570
'0:02.461',-5.560
'0:02.464',-5.560
'0:02.467',-5.570
'0:02.469',-5.550
'0:02.472',-5.565
'0:02.475',-5.570
'0:02.478',-5.570
'0:02.481',-5.570
'0:02.483',-5.580
'0:02.486',-5.565
'0:02.489',-5.575
'0:02.492',-5.550
'0:02.494',-5.560
'0:02.497',-5.540
'0:02.500',-5.545
'0:02.503',-5.535
'0:02.506',-5.545
'0:02.508',-5.570
'0:02.511',-5.560
'0:02.514',-5.570
'0:02.517',-5.590
'0:02.519',-5.585
'0:02.522',-5.565
'0:02.525',-5.580
'0:02.528',-5.560
'0:02.531',-5.560
'0:02.533',-5.555
'0:02.536',-5.545
'0:02.539',-5.535
'0:02.542',-5.540
'0:02.544',-5.540
'0:02.547',-5.520
'0:02.550',-5.515
'0:02.553',-5.510
'0:02.556',-5.485
'0:02.558',-5.470
'0:02.561',-5.475
'0:02.564',-5.450
'0:02.567',-5.450
'0:02.569',-5.460
'0:02.572',-5.465
'0:02.575',-5.495
'0:02.578',-5.530
'0:02.581',-5.550
'0:02.583',-5.585
'0:02.586',-5.610
'0:02.589',-5.585
'0:02.592',-5.605
'0:02.594',-5.605
'0:02.597',-5.580
'0:02.600',-5.580
'0:02.603',-5.590
'0:02.606',-5.580
'0:02.608',-5.580
'0:02.611',-5.600
'0:02.614',-5.600
'0:02.617',-5.605
'0:02.619',-5.615
'0:02.622',-5.610
'0:02.625',-5.605
'0:02.628',-5.605
'0:02.631',-5.605
'0:02.633',-5.610
'0:02.636',-5.595
'0:02.639',-5.600
'0:02.642',-5.615
'0:02.644',-5.615
'0:02.647',-5.645
'0:02.650',-5.650
'0:02.653',-5.645
'0:02.656',-5.640
'0:02.658',-5.625
'0:02.661',-5.620
'0:02.664',-5.600
'0:02.667',-5.585
'0:02.669',-5.585
'0:02.672',-5.600
'0:02.675',-5.615
'0:02.678',-5.620
'0:02.681',-5.625
'0:02.683',-5.605
'0:02.686',-5.580
'0:02.689',-5.540
'0:02.692',-5.470
'0:02.694',-5.410
'0:02.697',-5.390
'0:02.700',-5.420
'0:02.703',-5.495
'0:02.706',-5.645
'0:02.708',-5.845
'0:02.711',-6.090
'0:02.714',-6.320
'0:02.717',-6.500
'0:02.719',-6.580
'0:02.722',-6.605
'0:02.725',-6.550
'0:02.728',-6.495
'0:02.731',-6.385
'0:02.733',-6.290
'0:02.736',-6.190
'0:02.739',-6.095
'0:02.742',-6.020
'0:02.744',-5.930
'0:02.747',-5.885
'0:02.750',-5.830
'0:02.753',-5.755
'0:02.756',-5.710
'0:02.758',-5.655
'0:02.761',-5.635
'0:02.764',-5.610
'0:02.767',-5.605
'0:02.769',-5.600
'0:02.772',-5.585
'0:02.775',-5.605
'0:02.778',-5.610
'0:02.781',-5.595
'0:02.783',-5.575
'0:02.786',-5.565
'0:02.789',-5.545
'0:02.792',-5.530
'0:02.794',-5.535
'0:02.797',-5.520
'0:02.800',-5.530
'0:02.803',-5.535
'0:02.806',-5.545
'0:02.808',-5.550
'0:02.811',-5.565
'0:02.814',-5.555
'0:02.817',-5.565
'0:02.819',-5.560
'0:02.822',-5.540
'0:02.825',-5.540
'0:02.828',-5.535
'0:02.831',-5.530
'0:02.833',-5.540
'0:02.836',-5.530
'0:02.839',-5.550
'0:02.842',-5.545
'0:02.844',-5.555
'0:02.847',-5.555
'0:02.850',-5.530
'0:02.853',-5.545
'0:02.856',-5.530
'0:02.858',-5.525
'0:02.861',-5.520
'0:02.864',-5.515
'0:02.867',-5.515
'0:02.869',-5.505
'0:02.872',-5.535
'0:02.875',-5.545
'0:02.878',-5.545
'0:02.881',-5.545
'0:02.883',-5.540
'0:02.886',-5.550
'0:02.889',-5.540
'0:02.892',-5.530
'0:02.894',-5.530
'0:02.897',-5.510
'0:02.900',-5.515
'0:02.903',-5.505
'0:02.906',-5.525
'0:02.908',-5.525
'0:02.911',-5.520
'0:02.914',-5.520
'0:02.917',-5.520
'0:02.919',-5.520
'0:02.922',-5.500
'0:02.925',-5.495
'0:02.928',-5.485
'0:02.931',-5.470
'0:02.933',-5.470
'0:02.936',-5.470
'0:02.939',-5.480
'0:02.942',-5.470
'0:02.944',-5.475
'0:02.947',-5.480
'0:02.950',-5.485
'0:02.953',-5.490
'0:02.956',-5.475
'0:02.958',-5.455
'0:02.961',-5.435
'0:02.964',-5.440
'0:02.967',-5.430
'0:02.969',-5.425
'0:02.972',-5.435
'0:02.975',-5.455
'0:02.978',-5.440
'0:02.981',-5.475
'0:02.983',-5.445
'0:02.986',-5.455
'0:02.989',-5.465
'0:02.992',-5.435
'0:02.994',-5.445
'0:02.997',-5.435
'0:03.000',-5.450
'0:03.003',-5.450
'0:03.006',-5.465
'0:03.008',-5.500
'0:03.011',-5.500
'0:03.014',-5.510
'0:03.017',-5.510
'0:03.019',-5.510
'0:03.022',-5.515
'0:03.025',-5.510
'0:03.028',-5.505
'0:03.031',-5.490
'0:03.033',-5.495
'0:03.036',-5.520
'0:03.039',-5.530
'0:03.042',-5.525
'0:03.044',-5.560
'0:03.047',-5.560
'0:03.050',-5.555
'0:03.053',-5.540
'0:03.056',-5.535
'0:03.058',-5.525
'0:03.061',-5.530
'0:03.064',-5.520
'0:03.067',-5.525
'0:03.069',-5.545
'0:03.072',-5.545
'0:03.075',-5.550
'0:03.078',-5.565
'0:03.081',-5.565
'0:03.083',-5.550
'0:03.086',-5.545
'0:03.089',-5.540
'0:03.092',-5.540
'0:03.094',-5.530
'0:03.097',-5.530
'0:03.100',-5.540
'0:03.103',-5.535
'0:03.106',-5.545
'0:03.108',-5.550
'0:03.111',-5.580
'0:03.114',-5.570
'0:03.117',-5.585
'0:03.119',-5.585
'0:03.122',-5.565
'0:03.125',-5.555
'0:03.128',-5.555
'0:03.131',-5.550
'0:03.133',-5.555
'0:03.136',-5.555
'0:03.139',-5.555
'0:03.142',-5.565
'0:03.144',-5.565
'0:03.147',-5.575
'0:03.150',-5.570
'0:03.153',-5.565
'0:03.156',-5.560
'0:03.158',-5.560
'0:03.161',-5.570
'0:03.164',-5.545
'0:03.167',-5.560
'0:03.169',-5.565
'0:03.172',-5.585
'0:03.175',-5.580
'0:03.178',-5.610
'0:03.181',-5.605
'0:03.183',-5.605
'0:03.186',-5.600
'0:03.189',-5.590
'0:03.192',-5.580
'0:03.194',-5.580
'0:03.197',-5.565
'0:03.200',-5.570
'0:03.203',-5.560
'0:03.206',-5.575
'0:03.208',-5.580
'0:03.211',-5.595
'0:03.214',-5.590
'0:03.217',-5.590
'0:03.219',-5.595
'0:03.222',-5.590
'0:03.225',-5.575
'0:03.228',-5.550
