'Elapsed time','V1'
'0:01.536',-5.765
'0:01.539',-5.780
'0:01.542',-5.785
'0:01.544',-5.795
'0:01.547',-5.790
'0:01.550',-5.760
'0:01.553',-5.740
'0:01.556',-5.725
'0:01.558',-5.695
'0:01.561',-5.680
'0:01.564',-5.660
'0:01.567',-5.685
'0:01.569',-5.710
'0:01.572',-5.735
'0:01.575',-5.730
'0:01.578',-5.730
'0:01.581',-5.730
'0:01.583',-5.710
'0:01.586',-5.715
'0:01.589',-5.715
'0:01.592',-5.710
'0:01.594',-5.715
'0:01.597',-5.750
'0:01.600',-5.790
'0:01.603',-5.845
'0:01.606',-5.850
'0:01.608',-5.850
'0:01.611',-5.805
'0:01.614',-5.765
'0:01.617',-5.735
'0:01.619',-5.725
'0:01.622',-5.725
'0:01.625',-5.745
'0:01.628',-5.740
'0:01.631',-5.730
'0:01.633',-5.745
'0:01.636',-5.755
'0:01.639',-5.745
'0:01.642',-5.720
'0:01.644',-5.710
'0:01.647',-5.710
'0:01.650',-5.720
'0:01.653',-5.750
'0:01.656',-5.785
'0:01.658',-5.820
'0:01.661',-5.815
'0:01.664',-5.830
'0:01.667',-5.805
'0:01.669',-5.755
'0:01.672',-5.705
'0:01.675',-5.655
'0:01.678',-5.645
'0:01.681',-5.655
'0:01.683',-5.645
'0:01.686',-5.690
'0:01.689',-5.695
'0:01.692',-5.730
'0:01.694',-5.710
'0:01.697',-5.705
'0:01.700',-5.685
'0:01.703',-5.665
'0:01.706',-5.605
'0:01.708',-5.565
'0:01.711',-5.530
'0:01.714',-5.505
'0:01.717',-5.520
'0:01.719',-5.555
'0:01.722',-5.590
'0:01.725',-5.610
'0:01.728',-5.630
'0:01.731',-5.665
'0:01.733',-5.685
'0:01.736',-5.710
'0:01.739',-5.725
'0:01.742',-5.730
'0:01.744',-5.735
'0:01.747',-5.730
'0:01.750',-5.725
'0:01.753',-5.715
'0:01.756',-5.700
'0:01.758',-5.695
'0:01.761',-5.710
'0:01.764',-5.725
'0:01.767',-5.760
'0:01.769',-5.785
'0:01.772',-5.765
'0:01.775',-5.775
'0:01.778',-5.755
'0:01.781',-5.740
'0:01.783',-5.740
'0:01.786',-5.740
'0:01.789',-5.730
'0:01.792',-5.740
'0:01.794',-5.760
'0:01.797',-5.775
'0:01.800',-5.785
'0:01.803',-5.795
'0:01.806',-5.775
'0:01.808',-5.740
'0:01.811',-5.715
'0:01.814',-5.695
'0:01.817',-5.705
'0:01.819',-5.735
'0:01.822',-5.745
'0:01.825',-5.755
'0:01.828',-5.770
'0:01.831',-5.795
'0:01.833',-5.840
'0:01.836',-5.920
'0:01.839',-6.020
'0:01.842',-6.145
'0:01.844',-6.305
'0:01.847',-6.490
'0:01.850',-6.670
'0:01.853',-6.825
'0:01.856',-6.890
'0:01.858',-6.840
'0:01.861',-6.690
'0:01.864',-6.490
'0:01.867',-6.275
'0:01.869',-6.090
'0:01.872',-5.875
'0:01.875',-5.625
'0:01.878',-5.320
'0:01.881',-5.030
'0:01.883',-4.795
'0:01.886',-4.685
'0:01.889',-4.700
'0:01.892',-4.835
'0:01.894',-5.070
'0:01.897',-5.285
'0:01.900',-5.450
'0:01.903',-5.530
'0:01.906',-5.610
'0:01.908',-5.645
'0:01.911',-5.710
'0:01.914',-5.775
'0:01.917',-5.845
'0:01.919',-5.885
'0:01.922',-5.920
'0:01.925',-5.915
'0:01.928',-5.895
'0:01.931',-5.880
'0:01.933',-5.890
'0:01.936',-5.885
'0:01.939',-5.905
'0:01.942',-5.900
'0:01.944',-5.885
'0:01.947',-5.885
'0:01.950',-5.840
'0:01.953',-5.790
'0:01.956',-5.750
'0:01.958',-5.715
'0:01.961',-5.695
'0:01.964',-5.680
'0:01.967',-5.705
'0:01.969',-5.705
'0:01.972',-5.715
'0:01.975',-5.655
'0:01.978',-5.625
'0:01.981',-5.585
'0:01.983',-5.550
'0:01.986',-5.540
'0:01.989',-5.565
'0:01.992',-5.605
'0:01.994',-5.650
'0:01.997',-5.645
'0:02.000',-5.660
'0:02.003',-5.660
'0:02.006',-5.650
'0:02.008',-5.620
'0:02.011',-5.605
'0:02.014',-5.610
'0:02.017',-5.625
'0:02.019',-5.650
'0:02.022',-5.700
'0:02.025',-5.720
'0:02.028',-5.760
'0:02.031',-5.770
'0:02.033',-5.775
'0:02.036',-5.765
'0:02.039',-5.765
'0:02.042',-5.785
'0:02.044',-5.790
'0:02.047',-5.805
'0:02.050',-5.840
'0:02.053',-5.860
'0:02.056',-5.875
'0:02.058',-5.895
'0:02.061',-5.915
'0:02.064',-5.930
'0:02.067',-5.935
'0:02.069',-5.945
'0:02.072',-5.945
'0:02.075',-5.925
'0:02.078',-5.935
'0:02.081',-5.935
'0:02.083',-5.960
'0:02.086',-5.980
'0:02.089',-6.005
'0:02.092',-5.995
'0:02.094',-6.005
'0:02.097',-5.990
'0:02.100',-5.980
'0:02.103',-6.000
'0:02.106',-6.015
'0:02.108',-6.030
'0:02.111',-6.045
'0:02.114',-6.060
'0:02.117',-6.060
'0:02.119',-6.085
'0:02.122',-6.060
'0:02.125',-6.090
'0:02.128',-6.095
'0:02.131',-6.100
'0:02.133',-6.105
'0:02.136',-6.110
'0:02.139',-6.105
'0:02.142',-6.085
'0:02.144',-6.065
'0:02.147',-6.030
'0:02.150',-6.000
'0:02.153',-5.995
'0:02.156',-5.990
'0:02.158',-5.980
'0:02.161',-5.985
'0:02.164',-5.985
'0:02.167',-5.990
'0:02.169',-5.970
'0:02.172',-5.935
'0:02.175',-5.890
'0:02.178',-5.885
'0:02.181',-5.850
'0:02.183',-5.815
'0:02.186',-5.820
'0:02.189',-5.800
'0:02.192',-5.805
'0:02.194',-5.800
'0:02.197',-5.840
'0:02.200',-5.850
'0:02.203',-5.865
'0:02.206',-5.840
'0:02.208',-5.795
'0:02.211',-5.740
'0:02.214',-5.710
'0:02.217',-5.685
'0:02.219',-5.690
'0:02.222',-5.715
'0:02.225',-5.720
'0:02.228',-5.725
'0:02.231',-5.745
'0:02.233',-5.735
'0:02.236',-5.730
'0:02.239',-5.705
'0:02.242',-5.685
'0:02.244',-5.660
'0:02.247',-5.655
'0:02.250',-5.650
'0:02.253',-5.640
'0:02.256',-5.630
'0:02.258',-5.630
'0:02.261',-5.615
'0:02.264',-5.615
'0:02.267',-5.605
'0:02.269',-5.625
'0:02.272',-5.630
'0:02.275',-5.670
'0:02.278',-5.695
'0:02.281',-5.700
'0:02.283',-5.670
'0:02.286',-5.645
'0:02.289',-5.630
'0:02.292',-5.605
'0:02.294',-5.615
'0:02.297',-5.655
'0:02.300',-5.665
'0:02.303',-5.685
'0:02.306',-5.675
'0:02.308',-5.635
'0:02.311',-5.620
'0:02.314',-5.625
'0:02.317',-5.625
'0:02.319',-5.645
'0:02.322',-5.660
'0:02.325',-5.675
'0:02.328',-5.660
'0:02.331',-5.645
'0:02.333',-5.635
'0:02.336',-5.605
'0:02.339',-5.605
'0:02.342',-5.610
'0:02.344',-5.635
'0:02.347',-5.630
'0:02.350',-5.635
'0:02.353',-5.640
'0:02.356',-5.655
'0:02.358',-5.645
'0:02.361',-5.635
'0:02.364',-5.630
'0:02.367',-5.635
'0:02.369',-5.635
'0:02.372',-5.620
'0:02.375',-5.615
'0:02.378',-5.610
'0:02.381',-5.625
'0:02.383',-5.625
'0:02.386',-5.630
'0:02.389',-5.635
'0:02.392',-5.640
'0:02.394',-5.615
'0:02.397',-5.585
'0:02.400',-5.590
'0:02.403',-5.590
'0:02.406',-5.575
'0:02.408',-5.565
'0:02.411',-5.565
'0:02.414',-5.595
'0:02.417',-5.595
'0:02.419',-5.620
'0:02.422',-5.625
'0:02.425',-5.635
'0:02.428',-5.625
'0:02.431',-5.640
'0:02.433',-5.625
'0:02.436',-5.630
'0:02.439',-5.605
'0:02.442',-5.570
'0:02.444',-5.580
'0:02.447',-5.555
'0:02.450',-5.560
'0:02.453',-5.565
'0:02.456',-5.585
'0:02.458',-5.590
'0:02.461',-5.590
'0:02.464',-5.575
'0:02.467',-5.570
'0:02.469',-5.575
'0:02.472',-5.575
'0:02.475',-5.575
'0:02.478',-5.575
'0:02.481',-5.575
'0:02.483',-5.575
'0:02.486',-5.590
'0:02.489',-5.575
'0:02.492',-5.590
'0:02.494',-5.615
'0:02.497',-5.645
'0:02.500',-5.650
'0:02.503',-5.655
'0:02.506',-5.670
'0:02.508',-5.655
'0:02.511',-5.620
'0:02.514',-5.605
'0:02.517',-5.595
'0:02.519',-5.560
'0:02.522',-5.565
'0:02.525',-5.540
'0:02.528',-5.535
'0:02.531',-5.530
'0:02.533',-5.545
'0:02.536',-5.560
'0:02.539',-5.570
'0:02.542',-5.560
'0:02.544',-5.560
'0:02.547',-5.540
'0:02.550',-5.515
'0:02.553',-5.495
'0:02.556',-5.470
'0:02.558',-5.450
'0:02.561',-5.445
'0:02.564',-5.425
'0:02.567',-5.415
'0:02.569',-5.445
'0:02.572',-5.460
'0:02.575',-5.520
'0:02.578',-5.560
'0:02.581',-5.575
'0:02.583',-5.575
'0:02.586',-5.570
'0:02.589',-5.545
'0:02.592',-5.530
'0:02.594',-5.535
'0:02.597',-5.520
'0:02.600',-5.540
'0:02.603',-5.545
'0:02.606',-5.560
'0:02.608',-5.555
'0:02.611',-5.560
'0:02.614',-5.575
'0:02.617',-5.555
'0:02.619',-5.550
'0:02.622',-5.545
'0:02.625',-5.540
'0:02.628',-5.570
'0:02.631',-5.570
'0:02.633',-5.595
'0:02.636',-5.600
'0:02.639',-5.590
'0:02.642',-5.565
'0:02.644',-5.555
'0:02.647',-5.540
'0:02.650',-5.550
'0:02.653',-5.565
'0:02.656',-5.620
'0:02.658',-5.645
'0:02.661',-5.670
'0:02.664',-5.685
'0:02.667',-5.685
'0:02.669',-5.660
'0:02.672',-5.650
'0:02.675',-5.640
'0:02.678',-5.685
'0:02.681',-5.720
'0:02.683',-5.805
'0:02.686',-5.900
'0:02.689',-6.005
'0:02.692',-6.120
'0:02.694',-6.240
'0:02.697',-6.335
'0:02.700',-6.440
'0:02.703',-6.480
'0:02.706',-6.460
'0:02.708',-6.370
'0:02.711',-6.250
'0:02.714',-6.110
'0:02.717',-5.955
'0:02.719',-5.825
'0:02.722',-5.645
'0:02.725',-5.400
'0:02.728',-5.080
'0:02.731',-4.750
'0:02.733',-4.495
'0:02.736',-4.380
'0:02.739',-4.410
'0:02.742',-4.600
'0:02.744',-4.865
'0:02.747',-5.150
'0:02.750',-5.355
'0:02.753',-5.495
'0:02.756',-5.555
'0:02.758',-5.600
'0:02.761',-5.640
'0:02.764',-5.675
'0:02.767',-5.710
'0:02.769',-5.750
'0:02.772',-5.760
'0:02.775',-5.755
'0:02.778',-5.735
'0:02.781',-5.705
'0:02.783',-5.700
'0:02.786',-5.700
'0:02.789',-5.720
'0:02.792',-5.770
'0:02.794',-5.780
'0:02.797',-5.785
'0:02.800',-5.765
'0:02.803',-5.700
'0:02.806',-5.615
'0:02.808',-5.550
'0:02.811',-5.485
'0:02.814',-5.450
'0:02.817',-5.455
'0:02.819',-5.470
'0:02.822',-5.515
'0:02.825',-5.555
'0:02.828',-5.565
'0:02.831',-5.540
'0:02.833',-5.490
'0:02.836',-5.420
'0:02.839',-5.385
'0:02.842',-5.380
'0:02.844',-5.405
'0:02.847',-5.460
'0:02.850',-5.515
'0:02.853',-5.555
'0:02.856',-5.570
'0:02.858',-5.580
'0:02.861',-5.580
'0:02.864',-5.590
'0:02.867',-5.580
'0:02.869',-5.600
'0:02.872',-5.590
'0:02.875',-5.605
'0:02.878',-5.585
'0:02.881',-5.620
'0:02.883',-5.645
'0:02.886',-5.675
'0:02.889',-5.715
'0:02.892',-5.725
'0:02.894',-5.765
'0:02.897',-5.755
'0:02.900',-5.755
'0:02.903',-5.750
'0:02.906',-5.725
'0:02.908',-5.730
'0:02.911',-5.750
'0:02.914',-5.765
'0:02.917',-5.790
'0:02.919',-5.825
'0:02.922',-5.875
'0:02.925',-5.885
'0:02.928',-5.900
'0:02.931',-5.900
'0:02.933',-5.905
'0:02.936',-5.910
'0:02.939',-5.885
'0:02.942',-5.890
'0:02.944',-5.895
'0:02.947',-5.920
'0:02.950',-5.915
'0:02.953',-5.925
'0:02.956',-5.945
'0:02.958',-5.950
'0:02.961',-5.965
'0:02.964',-5.980
'0:02.967',-5.995
'0:02.969',-5.995
'0:02.972',-5.980
'0:02.975',-5.960
'0:02.978',-5.950
'0:02.981',-5.935
'0:02.983',-5.920
'0:02.986',-5.920
'0:02.989',-5.895
'0:02.992',-5.885
'0:02.994',-5.880
'0:02.997',-5.875
'0:03.000',-5.875
'0:03.003',-5.865
'0:03.006',-5.855
'0:03.008',-5.840
'0:03.011',-5.805
'0:03.014',-5.800
'0:03.017',-5.780
'0:03.019',-5.760
'0:03.022',-5.740
'0:03.025',-5.720
'0:03.028',-5.700
'0:03.031',-5.660
'0:03.033',-5.630
'0:03.036',-5.605
'0:03.039',-5.615
'0:03.042',-5.595
'0:03.044',-5.580
'0:03.047',-5.565
'0:03.050',-5.570
'0:03.053',-5.575
'0:03.056',-5.580
'0:03.058',-5.590
'0:03.061',-5.600
'0:03.064',-5.595
'0:03.067',-5.585
'0:03.069',-5.540
'0:03.072',-5.500
'0:03.075',-5.490
'0:03.078',-5.475
'0:03.081',-5.460
'0:03.083',-5.490
'0:03.086',-5.490
'0:03.089',-5.505
'0:03.092',-5.520
'0:03.094',-5.530
'0:03.097',-5.540
'0:03.100',-5.540
'0:03.103',-5.545
'0:03.106',-5.545
'0:03.108',-5.555
'0:03.111',-5.555
'0:03.114',-5.540
'0:03.117',-5.560
'0:03.119',-5.560
'0:03.122',-5.590
'0:03.125',-5.600
'0:03.128',-5.585
'0:03.131',-5.575
'0:03.133',-5.540
'0:03.136',-5.535
'0:03.139',-5.505
'0:03.142',-5.505
'0:03.144',-5.520
'0:03.147',-5.505
'0:03.150',-5.520
'0:03.153',-5.510
'0:03.156',-5.545
'0:03.158',-5.555
'0:03.161',-5.575
'0:03.164',-5.570
'0:03.167',-5.585
'0:03.169',-5.560
'0:03.172',-5.550
'0:03.175',-5.560
'0:03.178',-5.555
'0:03.181',-5.570
'0:03.183',-5.585
'0:03.186',-5.590
'0:03.189',-5.595
'0:03.192',-5.590
'0:03.194',-5.590
'0:03.197',-5.590
'0:03.200',-5.585
'0:03.203',-5.595
'0:03.206',-5.570
'0:03.208',-5.575
'0:03.211',-5.555
'0:03.214',-5.545
'0:03.217',-5.560
'0:03.219',-5.550
'0:03.222',-5.545
'0:03.225',-5.560
'0:03.228',-5.580
